model,accuracy,precision,recall,f1_score,false_positive_rate,false_negative_rate
Random Forest,0.959,0.9254291845493562,0.8642284569138277,0.8937823834196891,0.01736631684157921,0.13577154308617234
Hybrid (RF+Autoencoder),0.9165,0.7477592829705506,0.8777555110220441,0.8075593454713067,0.07383808095952024,0.12224448897795591
